[emotion];[number];[valence];[arousal];[prob. anger];[prob. disgust];[prob. fear];[prob. joy];[prob. sadness];[prob. surprise];[prob. neutral]
anger;7;3.3;6.9;0.09;0;0.52;0.03;0.07;0.16;0.13
fear;7;4.1;4.4;0;0.188889;0.32;0;0.13;0.02;0.33
sadness;7;5.4;4.8;0;0.066667;0;0.29;0.13;0.09;0.42
anger;8;2.3;4.8;0.09;0.388889;0.06;0;0.37;0;0.1
fear;8;1.2;4.9;0.03;0.4;0.47;0;0.03;0.07;0
surprise;7;6.8;5.2;0.07;0;0;0.39;0;0.19;0.36
joy;8;7.1;4.6;0;0;0;0.57;0.07;0.3;0.07
joy;9;7.4;4.8;0;0;0;0.6;0;0.27;0.13
sadness;8;5.5;5;0;0.066667;0;0.2;0.27;0.2;0.27
surprise;8;6.3;5.3;0;0.1;0.27;0.13;0.07;0.23;0.2
surprise;9;6.3;5.4;0;0;0.09;0.32;0.07;0.39;0.13
sadness;9;2.3;4;0;0.1;0.13;0;0.63;0.07;0.07
anger;9;4.7;5.1;0.07;0;0.5;0.07;0.07;0.1;0.2
disgust;9;5.3;5.4;0.07;0.066667;0;0.2;0.2;0.2;0.27
fear;9;5.1;5.1;0.07;0.1;0.37;0.13;0.07;0.07;0.2
surprise;10;6.8;4.6;0;0;0.1;0.37;0;0.4;0.13
anger;10;3.2;7.2;0.44;0.05;0.17;0.07;0.14;0.07;0.07
joy;10;7.3;4;0;0;0;0.63;0;0.17;0.2
anger;11;4.1;6.1;0.07;0.088889;0.46;0;0.19;0.07;0.13
fear;10;5;5;0.09;0.033333;0.19;0.07;0.16;0;0.47
disgust;10;3.1;5.3;0.09;0.433333;0.26;0;0.09;0.07;0.07
sadness;10;5.7;3.5;0.03;0.016667;0.22;0.17;0.25;0.03;0.28
disgust;11;4.2;5.7;0.09;0.411111;0.21;0.07;0.09;0;0.13
fear;11;4.8;5;0.07;0.083333;0.52;0;0.02;0.13;0.18
surprise;11;4.7;4.6;0.07;0;0.13;0.3;0;0.33;0.17
sadness;11;3.7;4.8;0;0.133333;0.07;0.07;0.2;0.07;0.47
disgust;12;3.8;5.3;0;0.166667;0.17;0.07;0.07;0.17;0.37
joy;11;6.3;4.5;0;0.066667;0;0.57;0;0.07;0.3
anger;12;3.7;5.2;0.07;0.233333;0;0.13;0.07;0.03;0.47
sadness;12;2.2;4.7;0;0;0.03;0;0.87;0;0.1
surprise;12;3.6;4;0;0.3;0.2;0.07;0;0.23;0.2
fear;12;5;4.6;0;0;0.37;0.23;0.07;0.13;0.2
joy;12;5.3;3.3;0;0.066667;0;0.3;0;0.1;0.53
anger;13;3.1;5.3;0.32;0.038889;0.41;0;0.21;0.02;0
fear;13;2.8;4;0;0.066667;0.18;0;0.68;0.08;0
disgust;13;4.3;3.9;0.03;0.333333;0.33;0;0.13;0.17;0
surprise;13;6.9;5.5;0;0.066667;0;0.37;0;0.43;0.13
joy;13;7.6;7.3;0;0;0;0.66;0;0.29;0.06
anger;14;4.1;5.7;0.11;0.088889;0.12;0.03;0.24;0.13;0.27
disgust;14;3.4;4.2;0;0.388889;0.03;0.02;0.36;0.03;0.17
sadness;13;3;3.4;0;0.1;0.16;0;0.52;0.06;0.17
fear;14;4.6;4.3;0;0.166667;0.28;0.02;0.21;0.17;0.15
sadness;14;1.6;5.4;0.28;0.138889;0.18;0;0.31;0.02;0.07
disgust;15;4.4;4.8;0;0.233333;0.1;0;0.03;0;0.63
surprise;14;5.1;5.3;0;0;0.17;0.27;0.1;0.27;0.2
joy;14;6.6;4.3;0;0.166667;0;0.27;0;0.23;0.33
sadness;15;4;3.9;0;0.033333;0.07;0;0.73;0;0.17
anger;15;3.9;6;0;0.066667;0.33;0.17;0.1;0.17;0.17
fear;15;4.6;4.8;0;0;0.53;0.07;0.1;0.13;0.17
surprise;15;7.5;4.4;0;0;0.07;0.5;0.07;0.17;0.2
joy;15;7.3;4.8;0;0;0;0.57;0;0.2;0.23
disgust;16;2.4;5.3;0.03;0.488889;0.19;0;0.29;0;0
disgust;17;5.2;3.9;0;0.188889;0.06;0.4;0;0.19;0.17
fear;16;3.5;4.7;0.06;0.3;0.39;0;0.02;0.03;0.2
joy;16;4.8;4.2;0;0.1;0.1;0.2;0.2;0.03;0.37
anger;16;2.2;5;0.02;0;0.52;0;0.39;0.03;0.03
sadness;16;5.9;4.4;0;0;0.13;0.53;0.07;0.07;0.2
fear;17;3.1;4.5;0.06;0.1;0.46;0;0.36;0.03;0
anger;17;2.8;5.7;0.32;0.066667;0.42;0.07;0.09;0.03;0
surprise;16;7;5.4;0;0;0;0.73;0;0.1;0.17
anger;18;3.9;5.9;0.18;0.188889;0.21;0.13;0.02;0.13;0.13
surprise;17;7.7;4.8;0.07;0;0;0.27;0.13;0.17;0.37
sadness;17;6.1;4.1;0;0;0.07;0.27;0.1;0.17;0.4
surprise;18;5.1;5.3;0.06;0.055556;0.22;0.03;0;0.37;0.27
joy;17;7.3;5.3;0.07;0;0;0.43;0.13;0.2;0.17
disgust;18;2.7;4.6;0.05;0.183333;0.28;0;0.25;0.17;0.07
fear;18;3.2;5.5;0.25;0.183333;0.45;0;0.02;0.1;0
joy;18;6.3;5.9;0.03;0.033333;0.13;0.27;0;0.3;0.23
sadness;18;3.3;4.2;0;0.033333;0.13;0.03;0.67;0.1;0.03
surprise;19;4.5;4.8;0.07;0.133333;0.23;0.13;0.13;0.07;0.23
fear;19;6.6;5.8;0;0;0.07;0.33;0.07;0.17;0.37
fear;20;5.1;5.9;0;0.033333;0.53;0.07;0.07;0.2;0.1
anger;19;4.6;5.4;0.46;0.066667;0.39;0;0;0.06;0.03
anger;20;6.2;4.2;0.03;0.133333;0.07;0.5;0;0.1;0.17
disgust;19;2.2;4.9;0.03;0.4;0.3;0;0.1;0;0.17
disgust;20;2.8;4.4;0.07;0.5;0.2;0;0.07;0;0.17
joy;19;6.3;5.3;0.07;0.066667;0.2;0.37;0;0.23;0.07
sadness;19;5.2;4.7;0.07;0;0;0.3;0.2;0;0.43
fear;21;3.6;4.7;0;0.2;0.07;0.03;0.17;0.1;0.43
surprise;20;6.2;5;0;0.066667;0.07;0.4;0.07;0.27;0.13
joy;20;7.5;6.2;0;0;0.02;0.39;0.07;0.42;0.1
joy;21;6.9;4.6;0;0.066667;0.07;0.46;0.06;0.26;0.1
sadness;20;4.8;4.1;0.02;0.133333;0.02;0.1;0.49;0.1;0.13
anger;21;5.4;4.6;0.09;0.033333;0.06;0.23;0.12;0.17;0.3
sadness;21;5.5;4.9;0;0.1;0.07;0.07;0.2;0.3;0.27
surprise;21;7.4;4.7;0;0;0;0.42;0;0.49;0.09
disgust;21;2.2;4.7;0.08;0.333333;0.28;0;0.08;0.08;0.13
disgust;22;6.9;5;0;0.2;0;0.47;0;0.27;0.07
anger;22;3.9;5;0.12;0.016667;0.22;0;0.58;0;0.07
sadness;22;4.6;4.2;0.03;0.066667;0;0.23;0.43;0.1;0.13
disgust;23;4.5;4.4;0.02;0.355556;0;0;0.07;0.09;0.47
surprise;22;6.1;6;0;0.066667;0;0.42;0.13;0.22;0.16
anger;23;5.5;5.3;0.13;0.133333;0.2;0.13;0.2;0.07;0.13
fear;22;4.9;4.2;0.02;0.05;0.33;0.22;0.2;0.02;0.17
fear;23;5.5;4.6;0.03;0.033333;0.13;0.4;0.27;0.13;0
joy;22;7.4;6.6;0;0;0;0.57;0.13;0.3;0
anger;24;6.5;5.9;0;0.133333;0.03;0.23;0.2;0.23;0.17
joy;23;7.5;6.2;0;0;0;0.5;0;0.2;0.3
sadness;23;6;5.8;0;0;0.03;0.07;0.53;0.13;0.23
disgust;24;1.9;3.6;0.13;0.566667;0;0;0.03;0;0.27
fear;24;4.3;4.1;0.07;0.133333;0.43;0.07;0;0.23;0.07
sadness;24;3;3.2;0;0.1;0;0;0.8;0.07;0.03
surprise;23;4.3;4.6;0;0.222222;0.32;0.1;0;0.16;0.2
joy;24;7.2;6.5;0;0;0.13;0.4;0;0.3;0.17
surprise;24;7.1;6.3;0;0;0.07;0.39;0.07;0.32;0.16
anger;25;4.7;4.9;0.07;0.2;0.2;0.1;0.07;0.07;0.3
surprise;25;5.6;4.4;0;0.133333;0.03;0.17;0.1;0.23;0.33
disgust;25;2.2;6.1;0.08;0.55;0.17;0;0.15;0.03;0.02
fear;25;4.8;3.7;0;0.066667;0.03;0.13;0.2;0.07;0.5
fear;26;5.8;3.6;0;0;0.1;0.33;0.2;0.07;0.3
sadness;25;3.3;4.3;0;0;0;0.07;0.8;0.03;0.1
joy;25;6.9;5.2;0;0.033333;0;0.7;0;0.17;0.1
disgust;26;3.3;5.6;0.07;0.433333;0.1;0.07;0.02;0.02;0.29
anger;26;3.4;4.7;0;0.133333;0.07;0;0.3;0.03;0.47
fear;27;6.3;4.7;0.03;0.033333;0.3;0.2;0.03;0.1;0.3
joy;26;8.6;4.5;0;0;0;0.73;0;0.17;0.1
anger;27;3.5;6.8;0.59;0;0.36;0.03;0.02;0;0
surprise;26;7.6;5.2;0;0;0;0.47;0;0.33;0.2
joy;27;7.3;4.7;0;0;0;0.47;0;0.17;0.37
disgust;27;1.7;6.5;0.03;0.433333;0.3;0;0.17;0;0.07
sadness;26;4;4.2;0.06;0;0.06;0.03;0.76;0;0.1
sadness;27;3.8;4.5;0;0;0.03;0.03;0.9;0;0.03
surprise;27;6.7;4.6;0;0;0.12;0.4;0.02;0.32;0.13
anger;28;3.2;4.6;0.07;0;0.43;0.07;0.23;0.07;0.13
fear;28;2.5;4.2;0.06;0.022222;0.5;0;0.22;0.07;0.13
joy;28;8.2;7.2;0;0;0;0.63;0;0.1;0.27
fear;29;4;4.6;0.17;0.122222;0.4;0;0.09;0.02;0.2
surprise;28;4.6;5.4;0.02;0.333333;0.33;0.07;0.02;0.06;0.17
sadness;28;5.8;5.7;0.02;0.133333;0.09;0.1;0.13;0.12;0.4
anger;29;4.2;6.4;0.13;0.033333;0.43;0.03;0.07;0.17;0.13
disgust;28;4.5;3.9;0.02;0.4;0.09;0;0.13;0.02;0.33
disgust;29;2.5;4;0;0.355556;0.16;0;0.4;0.02;0.07
sadness;29;5.5;4.2;0;0;0;0.47;0.13;0.13;0.27
disgust;30;2.5;3.8;0.07;0.633333;0.07;0;0.03;0;0.2
joy;29;6.9;4.1;0;0;0;0.7;0;0.17;0.13
surprise;29;6.3;4.4;0;0;0;0.62;0;0.19;0.19
surprise;30;6.3;6;0;0;0.12;0.17;0.03;0.49;0.19
sadness;30;6.8;4.2;0;0;0;0.2;0.17;0.1;0.53
fear;30;4.8;4.4;0;0;0.19;0.03;0.29;0.19;0.3
joy;30;6.8;3.7;0;0;0;0.57;0;0.17;0.27
anger;30;5.1;4.4;0;0.066667;0.1;0;0.07;0;0.77
anger;31;4.9;4.4;0;0.066667;0.2;0.2;0;0.1;0.43
fear;31;3.1;4.9;0;0.144444;0.54;0;0.04;0.13;0.13
joy;31;7.5;4.9;0;0;0;0.53;0;0.17;0.3
disgust;31;1.1;6.3;0.06;0.333333;0.5;0;0.02;0.02;0.07
surprise;31;5.6;5.4;0;0;0;0.03;0;0.27;0.7
sadness;31;5.4;4.7;0;0;0;0.12;0.29;0.19;0.4
fear;32;6.2;5.2;0;0;0.13;0.07;0.17;0.07;0.57
anger;32;6;5.4;0.07;0;0.1;0.23;0;0.27;0.33
disgust;32;1.2;4.7;0.13;0.7;0;0;0.13;0.03;0
joy;32;6.6;5.6;0;0.133333;0;0.53;0;0.23;0.1
sadness;32;3.1;4;0.02;0;0.12;0;0.72;0;0.13
sadness;33;5.6;4.3;0;0;0.09;0.4;0.22;0.22;0.07
joy;33;5.5;6.2;0.02;0;0.22;0.23;0;0.19;0.33
disgust;33;3.4;4.1;0.06;0.322222;0.09;0;0.18;0.29;0.07
surprise;32;6.9;6.7;0.03;0.066667;0.06;0.39;0;0.36;0.1
anger;33;5.4;5.1;0;0.033333;0.1;0.19;0.1;0.32;0.26
fear;33;2.8;4.6;0.15;0;0.58;0.07;0.05;0.08;0.07
surprise;33;6.9;6.8;0.02;0;0.02;0.36;0.02;0.42;0.16
fear;34;5.8;5.4;0;0.066667;0.23;0.13;0.03;0.13;0.4
surprise;34;7.2;7.1;0;0;0.03;0.43;0;0.23;0.3
joy;34;7.5;4.8;0;0;0;0.59;0;0.19;0.22
disgust;34;3;5.8;0;0.477778;0.11;0;0.19;0;0.22
disgust;35;1.7;6;0.17;0.666667;0;0;0.03;0;0.13
fear;35;4.2;4.3;0;0.133333;0.17;0;0.17;0.3;0.23
sadness;34;2.6;5.3;0.02;0.066667;0.1;0;0.69;0.02;0.1
anger;34;4;4.3;0.03;0.166667;0.23;0;0.23;0.17;0.17
anger;35;6.6;6.7;0;0;0;0.6;0;0.13;0.27
sadness;35;6.1;5.2;0;0.033333;0;0.2;0.23;0.47;0.07
surprise;35;6.7;5.2;0;0;0.1;0.43;0;0.23;0.23
surprise;36;6.3;6.2;0;0.066667;0.07;0.43;0.07;0.13;0.23
anger;36;5.6;4.6;0;0.1;0.13;0.3;0.17;0.03;0.27
sadness;36;3.2;3.9;0.02;0;0.09;0;0.69;0;0.2
fear;36;2.8;4.5;0.02;0.1;0.49;0;0.16;0.2;0.03
joy;35;7.1;6.5;0;0;0.13;0.57;0;0.17;0.13
disgust;36;2.8;3.8;0.03;0.422222;0.26;0;0;0.02;0.27
joy;36;7.8;6.7;0;0;0;0.57;0;0.23;0.2
fear;37;2.3;5.4;0.07;0.033333;0.73;0;0.1;0;0.07
surprise;37;5.1;5.1;0.03;0.055556;0.16;0.1;0.03;0.36;0.27
anger;37;7.3;6.3;0.07;0;0;0.6;0;0.17;0.17
disgust;37;5.7;5.2;0;0.066667;0;0.53;0;0.13;0.27
disgust;38;4.5;6.4;0.17;0.222222;0.09;0.17;0;0.09;0.27
joy;37;7.4;6.8;0;0;0;0.73;0;0.17;0.1
fear;38;6.3;4.2;0;0;0;0.3;0.2;0.17;0.33
anger;38;2.6;4;0.03;0.2;0.17;0.1;0.4;0.03;0.07
sadness;37;2.6;4.6;0.1;0.122222;0.08;0;0.63;0;0.07
disgust;39;6.6;4.2;0.07;0.033333;0;0.43;0;0.1;0.37
joy;38;6.3;5.6;0.03;0;0.1;0.53;0;0.13;0.2
sadness;38;8;4.3;0;0;0;0.77;0.1;0.07;0.07
fear;39;5.8;4.1;0;0;0.37;0.3;0.1;0.17;0.07
surprise;38;7;6.9;0.03;0;0;0.67;0;0.2;0.1
joy;39;7.9;5.6;0;0;0;0.63;0.07;0.23;0.07
anger;39;6;6;0;0;0.2;0.3;0.1;0.17;0.23
sadness;39;3.6;4.7;0;0.1;0.3;0;0.27;0.13;0.2
surprise;39;8;7.6;0;0;0;0.6;0;0.33;0.07
anger;40;5.4;7.2;0.13;0;0.37;0.1;0.07;0.27;0.07
sadness;40;5.6;3.2;0;0;0;0.3;0.47;0.13;0.1
surprise;40;6.2;5.7;0;0.066667;0.13;0.4;0;0.33;0.07
disgust;40;2.5;5.1;0.04;0.577778;0.08;0;0.11;0.07;0.12
disgust;41;2.1;5.1;0.06;0.555556;0.16;0;0.1;0;0.13
joy;40;8.3;4.2;0;0;0;0.52;0.02;0.19;0.27
anger;41;3.4;5.6;0.08;0.305556;0.18;0;0.14;0.06;0.23
fear;40;5;7.3;0.07;0.022222;0.57;0.02;0.03;0.19;0.1
fear;41;4.9;5.6;0;0.066667;0.3;0.17;0.17;0.07;0.23
joy;41;7.5;5.2;0;0;0;0.6;0;0.2;0.2
surprise;41;3.4;5;0.03;0.566667;0.12;0.09;0;0.03;0.16
fear;42;3.7;5;0.17;0.033333;0.72;0;0.06;0.02;0
sadness;41;4.7;4.1;0;0.033333;0.06;0.19;0.19;0.13;0.4
anger;42;6.5;6;0;0;0.16;0.42;0.07;0.26;0.1
disgust;42;2.3;4.7;0;0.655556;0.02;0.03;0.26;0.03;0
joy;42;6.1;5;0;0;0;0.7;0;0.13;0.17
sadness;42;3.5;4.1;0;0.033333;0.03;0;0.83;0;0.1
surprise;42;6.4;5.2;0;0;0.07;0.6;0;0.23;0.1
disgust;43;4.7;4.8;0.03;0.4;0.13;0.07;0;0.17;0.2
fear;43;7.4;4.8;0;0;0;0.47;0.03;0.2;0.3
joy;43;8.1;6;0;0;0;0.8;0;0.1;0.1
disgust;44;5.6;4.6;0.03;0.2;0.07;0.2;0;0.03;0.47
sadness;43;7.6;4.6;0.02;0;0;0.76;0;0.06;0.17
surprise;43;7.9;6;0;0;0;0.7;0;0.27;0.03
anger;43;6.9;5.6;0;0.066667;0.13;0.37;0.03;0.1;0.3
fear;44;5.6;5.5;0;0.1;0.1;0.27;0.03;0.1;0.4
anger;44;3.3;4.4;0;0.4;0.07;0.07;0.13;0;0.33
surprise;44;7.3;4;0;0;0;0.63;0;0.13;0.23
joy;44;6;5.8;0;0;0;0.67;0;0.03;0.3
disgust;45;2.5;4.9;0;0.666667;0.17;0;0.07;0.03;0.07
anger;45;4.5;5.6;0;0;0.37;0.2;0.1;0.07;0.27
fear;45;5.5;5.5;0;0.066667;0.23;0.3;0;0.33;0.07
surprise;45;5.5;3.9;0;0.066667;0;0.3;0.27;0.17;0.2
sadness;44;3.8;4.7;0;0;0.03;0;0.77;0.13;0.07
sadness;45;3.9;4.6;0;0;0.07;0;0.77;0;0.17
joy;45;6.4;4;0;0;0;0.67;0;0.13;0.2
disgust;46;2.7;4.7;0;0.222222;0.26;0;0.12;0.1;0.3
anger;46;4;5.2;0.02;0.083333;0.38;0;0.05;0.07;0.4
anger;47;2.7;4.7;0.3;0.2;0.27;0.03;0.13;0;0.07
disgust;47;2;4;0.02;0.322222;0.43;0;0.09;0;0.13
fear;46;4.8;5.2;0.07;0;0.43;0;0.13;0.1;0.27
fear;47;4.2;4.9;0.07;0;0.4;0.13;0.1;0.13;0.17
joy;46;6;4.7;0;0;0;0.57;0;0.2;0.23
sadness;46;3.3;3.8;0.03;0.066667;0.2;0;0.5;0;0.2
surprise;46;5.9;5.8;0;0;0.3;0.3;0;0.27;0.13
anger;48;6.7;6.6;0;0.033333;0.23;0.47;0;0.2;0.07
surprise;47;5.8;4.5;0;0;0.06;0.52;0.1;0.12;0.2
surprise;48;7.2;5.2;0;0;0;0.53;0;0.3;0.17
sadness;47;2.3;4.2;0;0;0.1;0;0.9;0;0
fear;48;3.5;4.6;0;0.266667;0.6;0;0;0.07;0.07
disgust;48;1.4;5.1;0.08;0.288889;0.03;0;0.51;0.09;0
joy;47;5.4;5;0;0.133333;0.07;0.17;0;0.23;0.4
sadness;48;2.3;4.4;0;0.066667;0.07;0;0.87;0;0
joy;48;6;5;0;0.066667;0;0.39;0.02;0.37;0.16
joy;49;8.2;4.9;0;0;0;0.69;0;0.19;0.12
fear;49;3.5;4.8;0;0.033333;0.6;0;0.1;0;0.27
surprise;49;4.6;4.7;0;0.133333;0.13;0.13;0.07;0.13;0.4
anger;49;5.9;4.6;0;0;0.1;0.07;0.03;0.27;0.53
anger;50;6.3;5.8;0.13;0;0.2;0.07;0;0.4;0.2
disgust;49;3.8;4.6;0.07;0.6;0;0;0;0.07;0.27
sadness;49;3.5;4.2;0;0.033333;0.1;0.07;0.73;0;0.07
disgust;50;2.9;3.9;0.26;0.455556;0;0.07;0.16;0;0.07
fear;50;4.9;5.3;0;0.022222;0.26;0.13;0.12;0.2;0.27
anger;51;1.8;4.5;0.05;0.116667;0.42;0;0.35;0;0.07
fear;51;1.9;4.9;0.13;0.122222;0.69;0;0.02;0.03;0
surprise;50;7.2;4.3;0;0.1;0;0.43;0.07;0.2;0.2
sadness;50;3.3;4.1;0;0;0;0.07;0.83;0;0.1
joy;50;7.4;4.3;0;0;0;0.47;0.03;0.13;0.37
surprise;51;7.9;5.6;0;0;0;0.67;0;0.33;0
disgust;51;6.9;5;0;0.066667;0;0.4;0;0.47;0.07
sadness;51;5.1;5;0;0.055556;0.26;0.07;0.39;0.1;0.13
joy;51;6;4.5;0;0.166667;0;0.33;0;0.07;0.43
disgust;52;4.2;5;0.03;0.533333;0.1;0;0;0;0.33
joy;52;7.6;5;0;0;0;0.43;0.07;0.23;0.27
fear;52;3.3;5.5;0.07;0.066667;0.43;0.07;0;0.1;0.27
anger;52;5.2;5.7;0.07;0;0.3;0.23;0;0.13;0.27
anger;53;2.2;5.5;0.13;0;0.5;0;0.27;0;0.1
sadness;52;3.1;3.7;0;0.033333;0;0;0.83;0;0.13
disgust;53;2.3;5;0.02;0.272222;0.47;0;0.14;0.03;0.07
fear;53;4.5;5.3;0;0.066667;0.3;0.07;0;0.3;0.27
surprise;52;6.7;5.1;0;0;0;0.37;0;0.3;0.33
joy;53;7.3;6.1;0;0;0;0.4;0.13;0.37;0.1
disgust;54;2.6;4.5;0.03;0.566667;0.07;0.07;0;0;0.27
fear;54;4.5;4.5;0.03;0.033333;0.3;0.07;0.1;0;0.47
sadness;53;4.6;3.8;0;0;0;0.03;0.73;0.07;0.17
surprise;53;7.1;6.4;0;0;0;0.39;0.07;0.42;0.12
surprise;54;5.2;5.6;0;0;0.23;0.2;0;0.3;0.27
anger;54;1.6;4.9;0.22;0.022222;0.27;0;0.26;0.2;0.03
joy;54;8.2;5.7;0;0;0;0.7;0.13;0.07;0.1
sadness;54;3.2;4.1;0;0.066667;0.13;0.07;0.33;0.03;0.37
anger;55;3.2;4.6;0.07;0;0.1;0;0.8;0;0.03
surprise;55;3.3;6.1;0.1;0.2;0.22;0;0.22;0.2;0.06
joy;55;7.8;5.6;0;0;0;0.63;0;0.17;0.2
fear;55;5.2;4.6;0.02;0.088889;0.13;0.1;0.07;0.03;0.56
sadness;55;6;4.3;0;0;0;0.1;0.2;0.17;0.53
disgust;55;3.3;5.7;0;0.5;0;0.03;0.13;0.1;0.23
fear;56;3.5;5.8;0.03;0.033333;0.43;0.03;0;0.1;0.37
anger;56;4.2;6;0.37;0.066667;0.13;0;0.07;0.07;0.3
disgust;56;3.6;5.2;0;0.4;0.23;0;0.07;0;0.3
joy;56;7;5.8;0;0;0;0.67;0;0.27;0.07
sadness;56;3.2;3.8;0;0.066667;0.4;0;0.53;0;0
surprise;56;6.1;5.8;0;0.066667;0;0.67;0;0.13;0.13
surprise;57;5.5;5.9;0;0.033333;0;0.13;0.17;0.33;0.33
disgust;57;3.1;4.5;0.07;0.355556;0.29;0;0.07;0.09;0.13
joy;57;7.6;6;0;0.066667;0;0.57;0;0.27;0.1
sadness;57;3.2;3.9;0.02;0.022222;0.07;0;0.89;0;0
fear;57;5.6;5;0;0;0;0.13;0.13;0.23;0.5
anger;57;4.8;4.9;0.07;0;0.23;0.03;0.1;0.3;0.27
surprise;58;5.6;4.4;0.08;0.016667;0.05;0.64;0;0.16;0.04
sadness;58;2.3;3.7;0;0.066667;0.1;0.07;0.67;0;0.1
disgust;58;5.9;4.2;0;0.2;0;0.17;0;0.23;0.4
anger;58;5.3;4.1;0.03;0;0.07;0.22;0.19;0.03;0.46
disgust;59;3.3;4.4;0.03;0.566667;0.13;0;0.07;0;0.2
fear;58;4.6;3.9;0.13;0.1;0.23;0.07;0;0.13;0.33
fear;59;3.2;4.3;0.03;0.233333;0.1;0;0.3;0.13;0.2
joy;58;7.6;4;0;0;0;0.89;0;0.09;0.02
anger;59;4.3;4.3;0;0;0.2;0.17;0.27;0.07;0.3
joy;59;7.1;5.1;0;0;0;0.57;0.07;0.07;0.3
fear;60;5.3;3.7;0;0;0;0.27;0.23;0.17;0.33
anger;60;3.7;3.9;0.02;0.1;0.26;0.13;0.1;0.16;0.23
joy;60;6.6;4.7;0;0;0.07;0.5;0;0.27;0.17
sadness;59;3;4;0.03;0;0.27;0;0.57;0.13;0
disgust;60;2.1;4.1;0;0.466667;0.17;0.07;0.13;0.17;0
sadness;60;6.8;5;0;0.066667;0;0.32;0.07;0.32;0.22
surprise;59;6.5;6.3;0;0;0;0.5;0.07;0.37;0.07
surprise;60;7.3;5.5;0;0;0.07;0.57;0;0.23;0.13
joy;61;7.5;5.6;0;0;0;0.82;0;0.16;0.02
anger;61;5.9;5.3;0.07;0.133333;0.03;0.2;0.1;0.07;0.4
fear;61;4.2;5.5;0;0.166667;0.33;0.07;0.07;0.17;0.2
disgust;61;4.5;4.3;0.07;0.266667;0.13;0;0;0.13;0.4
sadness;61;5.3;4.7;0;0.066667;0;0.2;0.37;0.07;0.3
anger;62;5.5;6.5;0.02;0;0.46;0.1;0.12;0.27;0.03
surprise;61;6.8;4.7;0;0.033333;0.07;0.48;0.02;0.29;0.11
disgust;62;2.7;5.4;0;0.366667;0.2;0.07;0.07;0.07;0.23
fear;62;3;6.5;0.07;0;0.63;0;0.07;0.07;0.17
sadness;62;3.7;5.1;0.09;0.066667;0;0.22;0.59;0;0.03
disgust;63;3.8;4.4;0.07;0.066667;0.17;0.03;0.33;0;0.33
